state,feature,mean,std,state_label
0,eog_envelope,-0.748,0.539,tonic
0,sawtooth_power,-0.216,0.438,tonic
0,spindle_power,0.024,0.608,tonic
0,theta_power,-0.006,0.656,tonic
1,eog_envelope,0.289,0.899,transition
1,sawtooth_power,-0.061,0.954,transition
1,spindle_power,-0.079,1.072,transition
1,theta_power,-0.07,1.073,transition
2,eog_envelope,0.669,0.954,phasic
2,sawtooth_power,0.387,1.429,phasic
2,spindle_power,0.072,1.294,phasic
2,theta_power,0.102,1.259,phasic
