state,feature,mean,std,state_label
0,eog_envelope,-0.297,0.857,tonic
0,sawtooth_power,-0.235,0.512,tonic
0,spindle_power,-0.091,0.718,tonic
0,theta_power,-0.14,0.688,tonic
1,eog_envelope,0.58,1.006,phasic
1,sawtooth_power,0.46,1.457,phasic
1,spindle_power,0.178,1.378,phasic
1,theta_power,0.273,1.384,phasic
